Dataset,Model,FS_Method,Stability_F1,Num_Stable_Features,Num_Final_Features,F1,Precision,Recall,Composite_Threshold,Final_Features
Mendeley,RF,anova,0.9670094981172372,25,15,0.998200460347353,0.9976576878032458,0.9987438238003518,0.3,"['entropy_of_url', 'average_subdomain_length', 'entropy_of_domain', 'url_length', 'having_digits_in_domain', 'domain_length', 'number_of_special_char_in_url', 'having_repeated_digits_in_domain', 'number_of_equal_in_url', 'number_of_digits_in_subdomain', 'having_repeated_digits_in_url', 'number_of_percent_in_url', 'having_digits_in_subdomain', 'number_of_special_characters_in_domain', 'having_special_characters_in_domain']"
Mendeley,RF,chi2,0.9421660221852156,20,12,0.9405315826375167,0.9546689670045287,0.9268068001004941,0.3,"['average_subdomain_length', 'url_length', 'domain_length', 'having_digits_in_domain', 'number_of_special_char_in_url', 'having_repeated_digits_in_domain', 'number_of_equal_in_url', 'number_of_digits_in_subdomain', 'number_of_special_characters_in_domain', 'having_repeated_digits_in_url', 'having_digits_in_subdomain', 'number_of_percent_in_url']"
Mendeley,RF,mi,0.9681657402728652,25,14,0.9982421629766041,0.9977827978580991,0.9987019512603634,0.3,"['average_subdomain_length', 'entropy_of_url', 'having_repeated_digits_in_subdomain', 'having_special_characters_in_subdomain', 'entropy_of_domain', 'url_length', 'having_digits_in_domain', 'number_of_subdomains', 'number_of_special_char_in_url', 'having_repeated_digits_in_domain', 'domain_length', 'number_of_equal_in_url', 'number_of_digits_in_subdomain', 'having_digits_in_subdomain']"
Mendeley,RF,variance,0.9679521388647024,27,17,0.9983468999142062,0.9978249048395867,0.9988694414203165,0.3,"['entropy_of_url', 'average_subdomain_length', 'entropy_of_domain', 'url_length', 'having_digits_in_domain', 'number_of_subdomains', 'number_of_special_char_in_url', 'having_repeated_digits_in_domain', 'domain_length', 'number_of_equal_in_url', 'having_repeated_digits_in_url', 'number_of_digits_in_subdomain', 'number_of_percent_in_url', 'having_digits_in_subdomain', 'number_of_underline_in_url', 'number_of_special_characters_in_domain', 'having_special_characters_in_domain']"
