Dataset,Model,FS_Method,Stability_F1,Num_Stable_Features,Num_Final_Features,F1,Precision,Recall,Composite_Threshold,Final_Features
Mendeley,XGBoost,anova,0.9452379608197368,30,20,0.9464433900036172,0.9621457927752541,0.9312452893392513,0.3,"['entropy_of_url', 'average_subdomain_length', 'number_of_special_characters_in_subdomain', 'entropy_of_domain', 'url_length', 'having_anchor', 'number_of_at_in_url', 'number_of_dollar_in_url', 'having_digits_in_domain', 'number_of_subdomains', 'number_of_special_char_in_url', 'having_repeated_digits_in_domain', 'domain_length', 'number_of_equal_in_url', 'having_repeated_digits_in_url', 'number_of_digits_in_subdomain', 'number_of_percent_in_url', 'having_digits_in_subdomain', 'number_of_special_characters_in_domain', 'having_special_characters_in_domain']"
Mendeley,XGBoost,chi2,0.9316505955757232,25,15,0.9274014765071781,0.9541609460117808,0.9021020015074115,0.3,"['average_subdomain_length', 'entropy_of_url', 'url_length', 'number_of_at_in_url', 'domain_length', 'having_digits_in_domain', 'number_of_special_char_in_url', 'having_repeated_digits_in_domain', 'number_of_equal_in_url', 'having_repeated_digits_in_url', 'number_of_percent_in_url', 'number_of_digits_in_subdomain', 'having_digits_in_subdomain', 'having_special_characters_in_domain', 'number_of_special_characters_in_domain']"
Mendeley,XGBoost,mi,0.944736395999322,24,14,0.944575848622387,0.961686987460407,0.9280629763001423,0.3,"['average_subdomain_length', 'entropy_of_url', 'having_repeated_digits_in_subdomain', 'having_special_characters_in_subdomain', 'entropy_of_domain', 'url_length', 'having_digits_in_domain', 'number_of_subdomains', 'number_of_special_char_in_url', 'having_repeated_digits_in_domain', 'domain_length', 'number_of_equal_in_url', 'number_of_digits_in_subdomain', 'having_digits_in_subdomain']"
Mendeley,XGBoost,variance,0.94541040984532,27,17,0.9466207307217898,0.9617977528089887,0.9319152499790637,0.3,"['entropy_of_url', 'average_subdomain_length', 'entropy_of_domain', 'url_length', 'having_digits_in_domain', 'number_of_subdomains', 'number_of_special_char_in_url', 'having_repeated_digits_in_domain', 'domain_length', 'number_of_equal_in_url', 'having_repeated_digits_in_url', 'number_of_digits_in_subdomain', 'number_of_percent_in_url', 'having_digits_in_subdomain', 'number_of_underline_in_url', 'number_of_special_characters_in_domain', 'having_special_characters_in_domain']"
