FS_Method,Avg_Val_F1,Num Stable Features,Stable features
anova,0.7656488778353759,20,"{'url_length': 1.0, 'number_of_dots_in_url': 1.0, 'having_repeated_digits_in_url': 1.0, 'number_of_digits_in_url': 1.0, 'number_of_special_char_in_url': 1.0, 'number_of_slash_in_url': 1.0, 'number_of_questionmark_in_url': 1.0, 'number_of_equal_in_url': 1.0, 'domain_length': 1.0, 'number_of_dots_in_domain': 1.0, 'having_digits_in_domain': 1.0, 'number_of_digits_in_domain': 1.0, 'having_repeated_digits_in_domain': 1.0, 'average_subdomain_length': 1.0, 'having_digits_in_subdomain': 1.0, 'number_of_digits_in_subdomain': 1.0, 'path_length': 1.0, 'having_query': 1.0, 'entropy_of_url': 1.0, 'entropy_of_domain': 1.0}"
chi2,0.7492540012659372,15,"{'url_length': 1.0, 'number_of_dots_in_url': 1.0, 'number_of_digits_in_url': 1.0, 'number_of_special_char_in_url': 1.0, 'number_of_slash_in_url': 1.0, 'number_of_questionmark_in_url': 1.0, 'number_of_equal_in_url': 1.0, 'domain_length': 1.0, 'number_of_dots_in_domain': 1.0, 'number_of_special_characters_in_domain': 1.0, 'number_of_digits_in_domain': 1.0, 'having_repeated_digits_in_domain': 1.0, 'average_subdomain_length': 1.0, 'number_of_digits_in_subdomain': 1.0, 'having_query': 1.0}"
mi,0.7783134668283593,20,"{'url_length': 1.0, 'number_of_dots_in_url': 1.0, 'number_of_digits_in_url': 1.0, 'number_of_special_char_in_url': 1.0, 'number_of_hyphens_in_url': 0.8, 'number_of_slash_in_url': 1.0, 'number_of_questionmark_in_url': 1.0, 'number_of_equal_in_url': 1.0, 'domain_length': 1.0, 'number_of_dots_in_domain': 1.0, 'number_of_hyphens_in_domain': 0.8, 'having_digits_in_domain': 1.0, 'number_of_digits_in_domain': 1.0, 'having_repeated_digits_in_domain': 1.0, 'number_of_subdomains': 1.0, 'average_subdomain_length': 1.0, 'path_length': 1.0, 'having_query': 1.0, 'entropy_of_url': 1.0, 'entropy_of_domain': 1.0}"
variance,0.7837877758411864,27,"{'url_length': 1.0, 'number_of_dots_in_url': 1.0, 'having_repeated_digits_in_url': 1.0, 'number_of_digits_in_url': 1.0, 'number_of_special_char_in_url': 1.0, 'number_of_hyphens_in_url': 1.0, 'number_of_underline_in_url': 1.0, 'number_of_slash_in_url': 1.0, 'number_of_questionmark_in_url': 1.0, 'number_of_equal_in_url': 1.0, 'number_of_percent_in_url': 1.0, 'domain_length': 1.0, 'number_of_dots_in_domain': 1.0, 'number_of_hyphens_in_domain': 1.0, 'having_special_characters_in_domain': 1.0, 'number_of_special_characters_in_domain': 1.0, 'having_digits_in_domain': 1.0, 'number_of_digits_in_domain': 1.0, 'having_repeated_digits_in_domain': 1.0, 'number_of_subdomains': 1.0, 'average_subdomain_length': 1.0, 'having_digits_in_subdomain': 1.0, 'number_of_digits_in_subdomain': 1.0, 'path_length': 1.0, 'having_query': 1.0, 'entropy_of_url': 1.0, 'entropy_of_domain': 1.0}"
