Dataset,Model,F1,Precision,Recall
Mendeley,XGBoost,0.9516398469053309,0.9612542184629843,0.9422158948161795
Kaggle,XGBoost,0.9768861753161797,0.9739130434782609,0.9798775153105862
Mendeley,LogReg,0.7850818946436476,0.8327072964597615,0.7426094966920693
Kaggle,LogReg,0.9758877685225779,0.9780316344463972,0.973753280839895
Mendeley,RF,0.9754794751009421,0.9798479087452472,0.971149819948078
Kaggle,RF,0.9718804920913884,0.9761694616063548,0.9676290463692039
